ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 1 	 TOTAL: 1
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 2 	 TOTAL: 2
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 3 	 TOTAL: 3
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 4 	 TOTAL: 4
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 5 	 TOTAL: 5
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 6 	 TOTAL: 6
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 7 	 TOTAL: 7
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 8 	 TOTAL: 8
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 9 	 TOTAL: 9
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 10 	 TOTAL: 10
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 11 	 TOTAL: 11
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 12 	 TOTAL: 12
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 13 	 TOTAL: 13
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 14 	 TOTAL: 14
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 15 	 TOTAL: 15
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 16 	 TOTAL: 16
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 1 	 TOTAL: 1 	 NORM1: 3.280303478240967
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 2 	 TOTAL: 2 	 NORM1: 3.9450507164001465
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 3 	 TOTAL: 3 	 NORM1: 5.094544887542725
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 4 	 TOTAL: 4 	 NORM1: 5.578167915344238
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 5 	 TOTAL: 5 	 NORM1: 5.4417572021484375
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 6 	 TOTAL: 6 	 NORM1: 6.0664963722229
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 7 	 TOTAL: 7 	 NORM1: 5.446195125579834
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 8 	 TOTAL: 8 	 NORM1: 3.73085618019104
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 9 	 TOTAL: 9 	 NORM1: 3.4953227043151855


pred_mul=2.5/ passing input_orig / passing input_teleport for evaluation of loss
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 1 	 TOTAL: 1 	 NORM1: 3.3128459453582764
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 2 	 TOTAL: 2 	 NORM1: 3.8174610137939453
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 3 	 TOTAL: 3 	 NORM1: 5.243309497833252
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 4 	 TOTAL: 4 	 NORM1: 5.680476188659668
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 5 	 TOTAL: 5 	 NORM1: 5.249873161315918
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 6 	 TOTAL: 6 	 NORM1: 5.802020072937012
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 7 	 TOTAL: 7 	 NORM1: 5.515515327453613
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 8 	 TOTAL: 8 	 NORM1: 3.7328836917877197




pred_mul=2.5/ passing input_orig / passing input_teleport for evaluation of loss / teleportaion on all list
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 1 	 TOTAL: 1 	 NORM1: 4.8262939453125
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 2 	 TOTAL: 2 	 NORM1: 5.336497783660889
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 3 	 TOTAL: 3 	 NORM1: 5.440746307373047
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 4 	 TOTAL: 4 	 NORM1: 7.127448081970215
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 5 	 TOTAL: 5 	 NORM1: 7.580021381378174
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 6 	 TOTAL: 6 	 NORM1: 7.226902484893799
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 7 	 TOTAL: 7 	 NORM1: 8.95693302154541
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 8 	 TOTAL: 8 	 NORM1: 6.463590145111084
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 9 	 TOTAL: 9 	 NORM1: 4.527602672576904
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 10 	 TOTAL: 10 	 NORM1: 9.779414176940918
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 11 	 TOTAL: 11 	 NORM1: 3.8915843963623047
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 12 	 TOTAL: 12 	 NORM1: 6.836915493011475
ACCURACY OF TELEPORTATION: 0.9230769230769231 	 CORRECT: 12 	 TOTAL: 13 	 NORM1: 5.560073375701904
ACCURACY OF TELEPORTATION: 0.9285714285714286 	 CORRECT: 13 	 TOTAL: 14 	 NORM1: 6.282235145568848
ACCURACY OF TELEPORTATION: 0.8666666666666667 	 CORRECT: 13 	 TOTAL: 15 	 NORM1: 9.833072662353516


pred_mul=2.5/ passing input_orig / passing input_teleport for evaluation of loss / least topk as no teleportation
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 1 	 TOTAL: 1 	 NORM1: 4.922801494598389
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 2 	 TOTAL: 2 	 NORM1: 4.698138236999512
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 1 	 TOTAL: 1 	 NORM1: 5.8405561447143555
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 2 	 TOTAL: 2 	 NORM1: 5.364710330963135
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 3 	 TOTAL: 3 	 NORM1: 4.653796672821045
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 4 	 TOTAL: 4 	 NORM1: 4.690497875213623
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 5 	 TOTAL: 5 	 NORM1: 2.750678062438965
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 6 	 TOTAL: 6 	 NORM1: 6.6035943031311035
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 7 	 TOTAL: 7 	 NORM1: 3.5348124504089355
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 8 	 TOTAL: 8 	 NORM1: 3.667029857635498
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 9 	 TOTAL: 9 	 NORM1: 5.611160755157471
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 10 	 TOTAL: 10 	 NORM1: 5.348773956298828
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 11 	 TOTAL: 11 	 NORM1: 5.101174831390381
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 12 	 TOTAL: 12 	 NORM1: 6.118508338928223
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 13 	 TOTAL: 13 	 NORM1: 3.58125638961792
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 14 	 TOTAL: 14 	 NORM1: 3.5640740394592285
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 15 	 TOTAL: 15 	 NORM1: 3.408468008041382
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 16 	 TOTAL: 16 	 NORM1: 4.6364641189575195



pred_mul=1.0/ passing input_orig / passing input_teleport for evaluation of loss / least topk as no teleportation
ACCURACY OF TELEPORTATION: 0.0 	 CORRECT: 0 	 TOTAL: 1 	 NORM1: 13.086339950561523
ACCURACY OF TELEPORTATION: 0.5 	 CORRECT: 1 	 TOTAL: 2 	 NORM1: 7.648746013641357
ACCURACY OF TELEPORTATION: 0.6666666666666666 	 CORRECT: 2 	 TOTAL: 3 	 NORM1: 7.000936508178711
ACCURACY OF TELEPORTATION: 0.75 	 CORRECT: 3 	 TOTAL: 4 	 NORM1: 7.37239408493042
ACCURACY OF TELEPORTATION: 0.8 	 CORRECT: 4 	 TOTAL: 5 	 NORM1: 4.564278602600098
ACCURACY OF TELEPORTATION: 0.8333333333333334 	 CORRECT: 5 	 TOTAL: 6 	 NORM1: 11.856460571289062
ACCURACY OF TELEPORTATION: 0.8571428571428571 	 CORRECT: 6 	 TOTAL: 7 	 NORM1: 5.555880546569824
ACCURACY OF TELEPORTATION: 0.875 	 CORRECT: 7 	 TOTAL: 8 	 NORM1: 6.725375652313232
ACCURACY OF TELEPORTATION: 0.8888888888888888 	 CORRECT: 8 	 TOTAL: 9 	 NORM1: 9.271749496459961
ACCURACY OF TELEPORTATION: 0.9 	 CORRECT: 9 	 TOTAL: 10 	 NORM1: 7.8922505378723145
ACCURACY OF TELEPORTATION: 0.9090909090909091 	 CORRECT: 10 	 TOTAL: 11 	 NORM1: 8.186956405639648
ACCURACY OF TELEPORTATION: 0.9166666666666666 	 CORRECT: 11 	 TOTAL: 12 	 NORM1: 8.996021270751953
ACCURACY OF TELEPORTATION: 0.9230769230769231 	 CORRECT: 12 	 TOTAL: 13 	 NORM1: 6.217759609222412
ACCURACY OF TELEPORTATION: 0.9285714285714286 	 CORRECT: 13 	 TOTAL: 14 	 NORM1: 6.220243453979492
ACCURACY OF TELEPORTATION: 0.9333333333333333 	 CORRECT: 14 	 TOTAL: 15 	 NORM1: 5.578146457672119
ACCURACY OF TELEPORTATION: 0.9375 	 CORRECT: 15 	 TOTAL: 16 	 NORM1: 7.497996807098389




ACCURACY OF TELEPORTATION: 0.0 	 CORRECT: 0 	 TOTAL: 1 	 NORM1: 13.151235580444336
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 1 	 TOTAL: 1 	 NORM1: 6.205836772918701
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 1 	 TOTAL: 1 	 NORM1: 6.614553451538086
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 1 	 TOTAL: 1 	 NORM1: 1.0236347913742065
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 1 	 TOTAL: 1 	 NORM1: 1.044472575187683
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 1 	 TOTAL: 1 	 NORM1: 6.271695137023926
